"Name","Dragon.Year","Sex","Time.in.pop","ActiveFungus","ActiveFungus_L","InfectedDensity.Annual","X","Y"
"Acer",2014,"Male",1326.8,0,0,3.67509394604661e-05,748.8,135.6
"Adrian",2014,"Male",764,0,0,4.07763708071772e-05,763.333333333333,146.5
"Africa",2014,"Male",776.484848484848,0,0,0,710.757575757576,39.3939393939394
"Agnes",2014,"Female",0,0,0,8.70204997523798e-06,762,127
"Aina",2014,"Female",0,0,0,0.000260457451903301,802,177
"Aladdin",2014,"Female",726.888888888889,0,0,0,728.888888888889,41.8888888888889
"Albert",2014,"Male",1324.14285714286,0,0,1.81605151354766e-05,743.904761904762,145.380952380952
"Alexis",2014,"Female",0,0,0,2.13690883517947e-06,750,124
"Aliona",2014,"Female",15.5,0,0,0,738,8
"Amanda",2014,"Female",0,0,0,4.35701224409437e-10,720,121
"Angie",2014,"Female",1282.5,0,0,0,718.5,31
"Angus",2014,"Male",1323,0,0,0,735,41
"Annie",2014,"Female",1326.33333333333,0,0,6.42582176322944e-05,766.333333333333,137.333333333333
"Anthony",2014,"Male",26,0,0,0,725.714285714286,29
"Apple",2014,"Female",748.9,0,0,0,714.5,37.5
"Apricot",2014,"Female",1299.03448275862,0,0,0.00024704124777947,782.620689655172,158.068965517241
"Aquila",2014,"Female",324.8,0,0,8.2551762806526e-06,754.6,173.4
"Armeisen",2014,"Male",649.1,0,0,1.35251469743808e-05,756.5,145.3
"Arnold",2014,"Male",1328.25,0,0,0.000333414110851614,779.111111111111,147.916666666667
"Aslan",2014,"Male",367,0,0,6.88222159594461e-06,755,200
"Asterix",2014,"Male",746,0,0,2.04757964571464e-05,761.666666666667,131
"Athena",2014,"Female",740,0,0,0,741,23
"Atom",2014,"Male",2.66666666666667,0,0,0,717.666666666667,51.6666666666667
"Bagheera",2014,"Male",23.8333333333333,0,0,0,704.333333333333,28.3333333333333
"Bandicoot",2014,"Male",0,0,0,5.64188161709672e-06,739,140
"Barron",2014,"Male",1320,0,0,1.26827821567576e-05,755.833333333333,179.02380952381
"Bataleur",2014,"Male",10,0,0,0,713.666666666667,22
"Beans",2014,"Female",1447.4375,0,0,0,725.375,40.3125
"Beast",2014,"Male",581.2,0,0,2.36077929192423e-05,764,130.8
"Bec",2014,"Female",798.615384615385,0,0,2.47549226311788e-06,722,71.8461538461538
"Ben",2014,"Male",0,0,0,2.66310712094576e-05,748,143
"Beth",2014,"Female",630,0,0,1.03656739778011e-05,752,173
"Bev",2014,"Female",35.5555555555556,0,0,0,751.333333333333,83.7777777777778
